"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 21:20:27 GMT 2023","Mon Jul 24 21:20:40 GMT 2023","12778","Surefire suite","Surefire test","tests.WidgetsTest","tests.WidgetsTest","testSelectYourCityFieldContainsChosenCity","testSelectYourCityFieldContainsChosenCity",""
"passed","Mon Jul 24 21:11:48 GMT 2023","Mon Jul 24 21:11:59 GMT 2023","11323","Surefire suite","Surefire test","tests.HomeHistoryBulksNewTest","tests.HomeHistoryBulksNewTest","testWeatherParametersAreNOTSelected_AfterUncheckAll","testWeatherParametersAreNOTSelected_AfterUncheckAll",""
"passed","Mon Jul 24 21:19:04 GMT 2023","Mon Jul 24 21:19:12 GMT 2023","7992","Surefire suite","Surefire test","tests.APITest","tests.APITest","testAPIPageHeader","testAPIPageHeader",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testAPIIconsAreDisplayed","testAPIIconsAreDisplayed",""
"passed","Mon Jul 24 21:26:16 GMT 2023","Mon Jul 24 21:26:24 GMT 2023","8718","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testEmailAndAdditionalInfoIsNotSavedAfterClickingOutOfContainer","testEmailAndAdditionalInfoIsNotSavedAfterClickingOutOfContainer",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testGitHubIconNavigatesToGitHubWeb","testGitHubIconNavigatesToGitHubWeb",""
"passed","Mon Jul 24 21:05:53 GMT 2023","Mon Jul 24 21:06:04 GMT 2023","10794","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage",""
"passed","Mon Jul 24 21:14:00 GMT 2023","Mon Jul 24 21:14:09 GMT 2023","8785","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:10:14 GMT 2023","Mon Jul 24 21:10:23 GMT 2023","8775","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testMarketplaceMenuNavigatesToMarketplacePage","testMarketplaceMenuNavigatesToMarketplacePage",""
"passed","Mon Jul 24 21:16:47 GMT 2023","Mon Jul 24 21:16:55 GMT 2023","8095","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testGooglePlayIconNavigatesToGooglePlayWeb","testGooglePlayIconNavigatesToGooglePlayWeb",""
"passed","Mon Jul 24 21:17:13 GMT 2023","Mon Jul 24 21:17:21 GMT 2023","8152","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testPricingFooterLinkNavigatesToPricePage","testPricingFooterLinkNavigatesToPricePage",""
"passed","Mon Jul 24 21:10:57 GMT 2023","Mon Jul 24 21:11:05 GMT 2023","7984","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testPricingMenuNavigatesToPricePage","testPricingMenuNavigatesToPricePage",""
